word,inDoc,totalInDoc,ArgoUML,gwt_portlet,JavaClient,JGAP,Mars,Neuroph,JPMC,xUML,Maze,Wro4J,Junit
zoom,1,1,1,0,0,0,0,0,0,0,0,0,0
zig,1,1,0,0,0,0,0,0,0,0,1,0,0
zero,1,1,1,0,0,0,0,0,0,0,0,0,0
zag,1,1,0,0,0,0,0,0,0,0,1,0,0
yoga,1,1,0,0,0,0,1,0,0,0,0,0,0
xy,1,3,0,0,0,0,0,0,3,0,0,0,0
xor,2,2,0,0,0,1,0,1,0,0,0,0,0
xml,5,13,3,1,0,3,0,3,0,0,0,3,0
xmi,1,1,1,0,0,0,0,0,0,0,0,0,0
xdr,1,18,0,0,18,0,0,0,0,0,0,0,0
wrong,1,3,3,0,0,0,0,0,0,0,0,0,0
wro,1,14,0,0,0,0,0,0,0,0,0,14,0
writer,2,2,1,0,0,1,0,0,0,0,0,0,0
write,1,1,0,0,1,0,0,0,0,0,0,0,0
wrapper,1,1,0,0,0,0,0,0,0,0,0,1,0
world,1,2,0,2,0,0,0,0,0,0,0,0,0
workout,1,1,0,0,0,0,1,0,0,0,0,0,0
worker,1,3,0,0,0,3,0,0,0,0,0,0,0
work,1,2,0,0,0,0,2,0,0,0,0,0,0
wizard,3,17,1,0,0,0,2,14,0,0,0,0,0
wiz,1,14,14,0,0,0,0,0,0,0,0,0,0
window,3,24,1,0,0,0,22,1,0,0,0,0,0
wind,1,1,0,0,0,0,1,0,0,0,0,0,0
win,1,1,1,0,0,0,0,0,0,0,0,0,0
wildcard,1,2,0,0,0,0,0,0,0,0,0,2,0
wifi,1,4,0,0,4,0,0,0,0,0,0,0,0
widget,1,16,0,16,0,0,0,0,0,0,0,0,0
wi,1,1,0,0,1,0,0,0,0,0,0,0,0
weight,2,5,0,0,0,1,0,4,0,0,0,0,0
web,1,2,0,2,0,0,0,0,0,0,0,0,0
weather,1,1,0,0,0,0,1,0,0,0,0,0,0
waypoint,1,1,0,0,1,0,0,0,0,0,0,0,0
waveform,1,2,0,0,2,0,0,0,0,0,0,0,0
wave,1,1,0,0,0,0,0,0,0,0,1,0,0
water,1,4,0,0,0,0,4,0,0,0,0,0,0
watchman,1,1,0,0,0,0,0,0,0,0,0,0,1
watcher,1,1,0,0,0,0,0,0,0,0,0,0,1
watch,1,1,0,0,0,0,0,0,0,0,0,1,0
wall,1,3,0,0,0,0,0,0,0,0,3,0,0
wai,1,1,0,0,0,1,0,0,0,0,0,0,0
void,1,1,0,0,1,0,0,0,0,0,0,0,0
visual,1,1,0,0,0,1,0,0,0,0,0,0,0
visibl,1,4,4,0,0,0,0,0,0,0,0,0,0
violat,2,2,1,0,0,0,0,0,0,0,0,0,1
viewer,1,1,0,0,0,0,0,0,0,0,1,0,0
view,3,7,1,0,0,0,0,3,0,0,3,0,0
vi,1,1,1,0,0,0,0,0,0,0,0,0,0
vertic,1,3,0,0,0,0,0,0,3,0,0,0,0
vertex,2,4,3,0,0,0,0,1,0,0,0,0,0
version,1,1,0,0,0,0,0,0,0,0,0,0,1
verifi,1,1,0,0,0,0,0,0,0,0,0,0,1
veloc,1,3,0,0,3,0,0,0,0,0,0,0,0
vel,1,3,0,0,3,0,0,0,0,0,0,0,0
vehicl,1,43,0,0,0,0,43,0,0,0,0,0,0
vector,4,5,1,0,1,0,0,1,2,0,0,0,0
vecmov,1,1,0,0,1,0,0,0,0,0,0,0,0
variabl,2,3,0,0,0,1,0,0,0,0,0,2,0
valu,6,15,5,0,0,3,2,0,2,0,0,1,2
valid,2,6,0,0,0,1,0,0,0,0,0,0,5
