word,inDoc,total,gwt_portlet,ArgoUML,JavaClient,JGAP,Mars,Neuroph,JPMC,xUML,Maze,Wro4J
panel,6,188,12,70,0,0,90,3,12,0,1,0
descriptor,2,171,0,1,0,0,170,0,0,0,0,0
player,2,153,0,0,152,0,1,0,0,0,0,0
model,7,139,0,97,0,0,20,1,6,4,7,4
uml,1,105,0,105,0,0,0,0,0,0,0,0
list,5,100,2,37,0,1,59,0,0,0,1,0
action,3,96,0,94,0,0,0,0,0,1,1,0
impl,4,84,7,5,0,0,1,0,0,71,0,0
resourc,4,75,0,33,0,0,37,0,1,0,0,4
prop,1,75,0,75,0,0,0,0,0,0,0,0
data,9,70,11,3,32,5,1,2,11,3,0,2
tabl,5,67,0,37,0,1,23,1,5,0,0,0
cr,1,67,0,67,0,0,0,0,0,0,0,0
tab,2,63,0,24,0,0,39,0,0,0,0,0
diagram,2,62,0,53,0,0,0,0,0,9,0,0
fig,1,61,0,61,0,0,0,0,0,0,0,0
state,4,59,0,50,3,0,0,0,0,5,1,0
type,6,55,0,15,0,1,31,4,0,3,0,1
config,5,54,1,3,21,8,21,0,0,0,0,0
posit,3,52,1,1,50,0,0,0,0,0,0,0
event,6,50,6,16,0,2,15,0,6,5,0,0
column,2,47,0,46,0,0,1,0,0,0,0,0
interfac,2,44,0,10,34,0,0,0,0,0,0,0
vehicl,1,43,0,0,0,0,43,0,0,0,0,0
factori,7,42,8,2,0,2,4,4,0,11,0,11
build,1,42,0,0,0,0,42,0,0,0,0,0
name,3,41,0,22,0,0,16,0,0,0,0,3
manag,5,40,3,4,0,3,22,0,0,0,0,8
element,3,40,0,35,0,3,0,2,0,0,0,0
class,4,40,2,32,0,2,0,0,0,4,0,0
go,1,39,0,39,0,0,0,0,0,0,0,0
node,4,37,0,33,0,2,0,1,0,1,0,0
part,1,35,0,0,0,0,35,0,0,0,0,0
unit,3,34,0,0,0,0,32,0,1,1,0,0
info,5,34,0,2,2,1,25,0,0,0,4,0
bundl,2,34,0,33,0,0,0,0,1,0,0,0
time,1,33,0,0,0,0,33,0,0,0,0,0
power,2,32,0,0,11,0,21,0,0,0,0,0
test,4,31,1,0,0,0,28,0,0,1,0,1
set,5,31,0,13,8,1,0,7,2,0,0,0
properti,6,30,0,11,0,1,1,3,12,0,0,2
mission,1,30,0,0,0,0,30,0,0,0,0,0
layout,4,30,15,9,0,0,0,4,2,0,0,0
oper,4,29,0,17,0,8,2,0,0,2,0,0
settlement,1,28,0,0,0,0,28,0,0,0,0,0
req,2,28,0,1,27,0,0,0,0,0,0,0
instanc,1,27,0,27,0,0,0,0,0,0,0,0
construct,1,27,0,0,0,0,27,0,0,0,0,0
util,7,26,2,5,1,0,12,2,1,0,0,3
cmd,2,26,0,1,25,0,0,0,0,0,0,0
packag,3,25,0,8,0,0,10,0,0,7,0,0
medic,1,25,0,0,0,0,25,0,0,0,0,0
map,4,25,0,0,4,1,19,0,0,0,0,1
configur,4,25,0,6,0,6,10,0,0,0,0,3
window,3,24,0,1,0,0,22,1,0,0,0,0
sourc,4,24,4,4,0,0,9,0,7,0,0,0
item,4,24,0,19,1,0,3,1,0,0,0,0
dialog,5,24,8,7,0,0,2,6,0,0,1,0
tree,4,22,0,14,0,5,0,1,2,0,0,0
portlet,1,22,22,0,0,0,0,0,0,0,0,0
person,1,22,0,0,0,0,22,0,0,0,0,0
templat,2,21,0,0,0,0,7,0,0,0,14,0
select,3,21,1,19,0,1,0,0,0,0,0,0
graph,2,21,0,13,0,0,0,8,0,0,0,0
gener,6,21,1,11,1,3,4,0,0,0,0,1
studi,1,20,0,0,0,0,20,0,0,0,0,0
processor,1,20,0,0,0,0,0,0,0,0,0,20
layer,3,20,0,1,0,0,11,8,0,0,0,0
editor,4,20,12,3,0,0,2,0,0,0,3,0
displai,2,20,0,4,0,0,16,0,0,0,0,0
classifi,1,20,0,20,0,0,0,0,0,0,0,0
base,6,20,0,7,0,7,2,1,0,0,1,2
associ,3,20,0,13,0,0,1,0,0,6,0,0
render,5,19,0,11,0,2,2,1,3,0,0,0
page,2,19,15,0,0,0,0,0,0,0,4,0
compon,3,19,0,17,0,0,0,1,1,0,0,0
chang,4,19,4,8,0,0,0,0,6,1,0,0
argo,1,19,0,19,0,0,0,0,0,0,0,0
xdr,1,18,0,0,18,0,0,0,0,0,0,0
box,3,18,0,16,0,0,0,1,0,0,1,0
attribut,3,18,0,8,0,0,7,0,0,3,0,0
wizard,3,17,0,1,0,0,2,14,0,0,0,0
network,2,17,0,0,0,1,0,16,0,0,0,0
maze,1,17,0,0,0,0,0,0,0,0,17,0
function,3,17,0,0,0,5,4,8,0,0,0,0
default,6,17,1,0,0,8,2,0,2,0,1,3
widget,1,16,16,0,0,0,0,0,0,0,0,0
storag,1,16,0,0,0,0,16,0,0,0,0,0
process,1,16,0,0,0,0,16,0,0,0,0,0
