word,inDoc,total,gwt_portlet,ArgoUML,JavaClient,JGAP,Mars,Neuroph,JPMC,xUML,Maze,Wro4J
data,9,70,11,3,32,5,1,2,11,3,0,2
model,7,139,0,97,0,0,20,1,6,4,7,4
factori,7,42,8,2,0,2,4,4,0,11,0,11
util,7,26,2,5,1,0,12,2,1,0,0,3
panel,6,188,12,70,0,0,90,3,12,0,1,0
type,6,55,0,15,0,1,31,4,0,3,0,1
event,6,50,6,16,0,2,15,0,6,5,0,0
properti,6,30,0,11,0,1,1,3,12,0,0,2
gener,6,21,1,11,1,3,4,0,0,0,0,1
base,6,20,0,7,0,7,2,1,0,0,1,2
default,6,17,1,0,0,8,2,0,2,0,1,3
filter,6,16,3,4,0,3,2,1,0,0,0,3
button,6,16,2,5,0,0,3,1,4,0,1,0
abstract,6,13,1,3,1,1,0,0,3,0,0,4
list,5,100,2,37,0,1,59,0,0,0,1,0
tabl,5,67,0,37,0,1,23,1,5,0,0,0
config,5,54,1,3,21,8,21,0,0,0,0,0
manag,5,40,3,4,0,3,22,0,0,0,0,8
info,5,34,0,2,2,1,25,0,0,0,4,0
set,5,31,0,13,8,1,0,7,2,0,0,0
dialog,5,24,8,7,0,0,2,6,0,0,1,0
render,5,19,0,11,0,2,2,1,3,0,0,0
listen,5,16,0,7,0,2,2,0,3,0,2,0
tool,5,15,1,2,1,0,6,0,5,0,0,0
xml,5,13,1,3,0,3,0,3,0,0,0,3
valu,5,13,0,5,0,3,2,0,2,0,0,1
frame,5,13,0,0,0,1,5,4,2,0,1,0
edit,5,13,0,3,0,0,2,1,6,0,1,0
control,5,12,1,1,8,0,0,1,0,0,1,0
adapt,5,11,1,2,0,0,0,1,1,6,0,0
cell,5,9,0,2,0,1,2,0,1,0,3,0
string,5,5,1,1,1,1,0,0,0,0,0,1
impl,4,84,7,5,0,0,1,0,0,71,0,0
resourc,4,75,0,33,0,0,37,0,1,0,0,4
state,4,59,0,50,3,0,0,0,0,5,1,0
class,4,40,2,32,0,2,0,0,0,4,0,0
node,4,37,0,33,0,2,0,1,0,1,0,0
test,4,31,1,0,0,0,28,0,0,1,0,1
layout,4,30,15,9,0,0,0,4,2,0,0,0
oper,4,29,0,17,0,8,2,0,0,2,0,0
map,4,25,0,0,4,1,19,0,0,0,0,1
configur,4,25,0,6,0,6,10,0,0,0,0,3
sourc,4,24,4,4,0,0,9,0,7,0,0,0
item,4,24,0,19,1,0,3,1,0,0,0,0
tree,4,22,0,14,0,5,0,1,2,0,0,0
editor,4,20,12,3,0,0,2,0,0,0,3,0
chang,4,19,4,8,0,0,0,0,6,1,0,0
object,4,15,0,11,0,0,1,0,1,2,0,0
field,4,14,0,6,0,0,6,0,1,0,0,1
file,4,13,0,3,0,1,0,8,0,0,0,1
locat,4,12,0,1,0,0,4,0,0,0,1,6
input,4,12,0,4,0,0,2,4,0,0,0,2
initi,4,11,0,5,0,1,4,0,0,1,0,0
selector,4,9,0,0,0,6,1,0,1,0,0,1
main,4,8,0,1,0,0,5,0,1,0,1,0
buffer,4,7,0,3,2,1,0,0,0,0,0,1
vector,4,5,0,1,1,0,0,1,2,0,0,0
cach,4,5,1,1,0,1,0,0,0,0,0,2
