Name,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,Connectors,InstSpec,LLInst,MsgSent,MsgRecv,MsgSelf,Diags
EA_Model.Model.Class Model.$help://class_model_pattern.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.$help://classdiagram.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.controller.FAPainter,33,32,17,3,8,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,12,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.controller.FASimulator,9,34,25,5,12,0,0,0,0,0,0,0,0,0,0,0,1,1,7,5,4,8,14,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.controller.IncompleteAutomatonException,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.fasimulator.Main,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.gui.FAAutoCompleteWin,11,19,7,2,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,4,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.gui.FAAutoCreateAbsorbedState,11,19,7,2,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,4,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.gui.FAInfoWin,18,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.gui.FAMainWin,82,83,18,4,3,0,0,0,0,0,0,0,0,0,0,0,8,8,2,7,2,14,7,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.gui.FAPropertiesWin,21,14,7,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,4,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.gui.FAStatePropertiesWin,11,21,9,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,4,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.gui.FATransitionWin,11,20,9,3,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,4,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.gui.FAWelcomeWin,18,14,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.gui.HelpFileLoader,1,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.gui.PaintPanel,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.models.AutoCompleteComboBoxModel,3,7,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.models.FA,10,28,27,8,9,0,0,0,0,0,0,0,0,0,0,0,3,3,2,4,1,16,16,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.models.FAEditor,25,63,45,15,18,0,0,0,0,0,0,0,0,0,0,0,5,7,3,2,7,4,21,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.models.FATransitionTableColumnModel,0,19,19,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.models.FATransitionTableModel,2,6,5,2,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.models.NoSuchTransitionException,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.models.SquareState,2,5,5,2,2,0,0,0,0,1,1,0,26,9,0,0,1,1,0,0,1,0,4,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.models.State,9,26,23,5,12,0,0,1,1,0,0,1,0,0,0,0,5,5,2,12,1,39,17,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.models.State_Properties,7,14,14,6,6,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.models.TouchButton,13,23,23,9,13,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,2,2,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.models.Transition,14,28,26,13,13,0,0,0,0,0,0,0,0,0,0,0,4,4,2,5,1,34,6,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.System.Class1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.System.Class2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
EA_Model.Model.Class Model.System.Class3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
