Name,NumOps,EC_Attr,EC_Par,IC_Par,Assoc,NumDirClients,NumIndClients,NumAnc,NumDesc,Diags
EA_Model.Model.Class Model.android.support.v4.app.Watson.OnCreateOptionsMenuListener,1,0,0,2,0,0,0,0,0,0
EA_Model.Model.Class Model.android.support.v4.app.Watson.OnOptionsItemSelectedListener,1,0,0,1,0,0,0,0,0,0
EA_Model.Model.Class Model.android.support.v4.app.Watson.OnPrepareOptionsMenuListener,1,0,0,1,0,0,0,0,0,0
EA_Model.Model.Class Model.com.actionbarsherlock.ActionBarSherlock.Implementation,2,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.actionbarsherlock.ActionBarSherlock.OnActionModeFinishedListener,1,0,0,1,0,0,0,0,0,0
EA_Model.Model.Class Model.com.actionbarsherlock.ActionBarSherlock.OnActionModeStartedListener,1,0,0,1,0,0,0,0,0,0
EA_Model.Model.Class Model.com.actionbarsherlock.ActionBarSherlock.OnCreateOptionsMenuListener,1,0,0,1,0,0,0,0,0,0
EA_Model.Model.Class Model.com.actionbarsherlock.ActionBarSherlock.OnCreatePanelMenuListener,1,0,0,1,0,0,0,0,0,0
EA_Model.Model.Class Model.com.actionbarsherlock.ActionBarSherlock.OnMenuItemSelectedListener,1,0,0,1,0,0,0,0,0,0
EA_Model.Model.Class Model.com.actionbarsherlock.ActionBarSherlock.OnOptionsItemSelectedListener,1,0,0,1,0,0,0,0,0,0
EA_Model.Model.Class Model.com.actionbarsherlock.ActionBarSherlock.OnPrepareOptionsMenuListener,1,0,0,1,0,0,0,0,0,0
EA_Model.Model.Class Model.com.actionbarsherlock.ActionBarSherlock.OnPreparePanelListener,1,0,0,1,0,0,0,0,0,0
EA_Model.Model.Class Model.com.actionbarsherlock.app.ActionBar.OnMenuVisibilityListener,1,0,6,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.actionbarsherlock.app.ActionBar.OnNavigationListener,1,1,4,0,2,0,0,0,0,0
