className,NoKey,maxInDoc,totalInDoc,maxInAllClasses,maxInSpecClasses,totalInAllClasses,totalInSpecClasses,weightInAllClasses,weightInSpecClasses,NumAttr,NumOps,NumPubOps,Setters,Getters,Dep_Out,Dep_In,EC_Attr,IC_Attr,EC_Par,IC_Par,In_Design
EA_Model.Class_Model.ActiveTestSuite_child,3,5,11,58,27,78,35,26,11.66666667,0,0,0,0,0,0,0,0,0,0,0,N
EA_Model.Class_Model.junit.extensions.ActiveTestSuite,3,5,11,58,27,78,35,26,11.66666667,1,8,7,0,0,0,0,0,0,0,3,N
EA_Model.Class_Model.junit.extensions.RepeatedTest,2,5,6,58,27,59,28,29.5,14,1,4,4,0,0,0,0,0,0,0,2,N
EA_Model.Class_Model.junit.extensions.TestDecorator,2,5,7,58,27,61,28,30.5,14,1,6,6,0,1,0,0,0,1,0,4,N
EA_Model.Class_Model.junit.extensions.TestSetup,2,5,6,58,27,59,28,29.5,14,0,4,2,1,0,0,0,0,0,0,2,N
EA_Model.Class_Model.junit.framework.Assert,1,1,1,4,4,4,4,4,4,0,39,38,0,0,0,0,0,0,0,0,Y
EA_Model.Class_Model.junit.framework.AssertionFailedError,3,1,3,7,7,15,15,5,5,1,3,2,0,0,0,0,0,0,5,0,Y
EA_Model.Class_Model.junit.framework.ComparisonCompactor,2,1,2,8,8,10,10,5,5,8,8,2,0,0,0,0,0,0,0,0,Y
EA_Model.Class_Model.junit.framework.ComparisonFailure,2,1,2,8,8,16,16,8,8,4,4,4,0,3,0,0,0,0,0,0,Y
EA_Model.Class_Model.junit.framework.JUnit4TestAdapter,4,6,15,58,27,118,42,29.5,10.5,3,12,10,0,4,0,0,0,2,1,8,N
EA_Model.Class_Model.junit.framework.JUnit4TestAdapterCache,5,6,20,58,27,124,43,24.8,8.6,2,5,4,0,2,0,0,1,0,1,8,N
EA_Model.Class_Model.junit.framework.JUnit4TestCaseFacade,5,5,15,58,27,125,42,25,8.4,1,5,4,0,1,0,0,0,1,0,3,N
EA_Model.Class_Model.junit.framework.TestCase,2,5,8,58,27,75,29,37.5,14.5,1,51,47,2,1,0,0,0,0,2,3,Y
EA_Model.Class_Model.junit.framework.TestFailure,2,5,6,58,27,66,35,33,17.5,2,7,7,0,1,0,0,0,1,3,2,Y
EA_Model.Class_Model.junit.framework.TestResult,2,5,9,58,27,67,33,33.5,16.5,5,18,16,0,0,0,0,0,0,25,10,Y
EA_Model.Class_Model.junit.framework.TestSuite,2,5,7,58,27,65,33,32.5,16.5,2,26,20,1,4,0,0,0,0,1,8,Y
EA_Model.Class_Model.junit.runner.BaseTestRunner,3,7,13,58,27,90,39,30,13,5,29,18,3,7,0,0,0,0,0,7,N
EA_Model.Class_Model.junit.runner.Version,1,1,1,1,1,1,1,1,1,0,3,2,0,0,0,0,0,0,0,0,N
EA_Model.Class_Model.junit.textui.ResultPrinter,2,4,5,9,6,10,7,5,3.5,2,17,7,0,1,0,0,1,0,2,12,N
EA_Model.Class_Model.junit.textui.TestRunner,2,5,6,58,27,69,38,34.5,19,4,18,14,1,0,0,0,0,1,0,13,N
EA_Model.Class_Model.org.junit.Assert,1,1,1,4,4,4,4,4,4,0,67,54,0,1,0,0,0,0,0,0,N
EA_Model.Class_Model.org.junit.Assume,1,1,1,1,1,1,1,1,1,0,9,9,0,0,0,0,0,0,0,0,N
EA_Model.Class_Model.org.junit.ComparisonFailure.ComparisonCompactor,2,1,2,8,8,10,10,5,5,8,8,1,0,0,0,0,0,0,0,0,N
