Name,NumAttr,NumOps,NumPubOps,Setters,Getters,Dep_Out,Dep_In,EC_Attr,IC_Attr,EC_Par,IC_Par,InDesign
EA_Model.EARootClass,0,0,0,0,0,0,0,0,0,0,0,N
EA_Model.Class_Model.ATMApplet,0,1,1,0,0,0,0,0,0,0,0,N
EA_Model.Class_Model.ATMMain,0,1,1,0,0,0,0,0,0,0,0,N
EA_Model.Class_Model.atm.ATM,18,18,16,0,11,0,0,5,8,11,8,Y
EA_Model.Class_Model.atm.Session,9,3,3,1,0,0,0,1,1,6,1,N
EA_Model.Class_Model.atm.physical.CardReader,1,4,4,0,0,0,0,1,1,1,2,Y
EA_Model.Class_Model.atm.physical.CashDispenser,2,4,4,1,0,0,0,1,2,1,4,Y
EA_Model.Class_Model.atm.physical.Cancelled,0,1,1,0,0,0,0,0,0,0,0,N
EA_Model.Class_Model.atm.physical.CustomerConsole,0,4,4,0,0,0,0,1,0,1,1,Y
EA_Model.Class_Model.atm.physical.EnvelopeAcceptor,1,2,2,0,0,0,0,1,1,1,1,N
EA_Model.Class_Model.atm.physical.Log,0,4,4,0,0,0,0,4,0,4,3,Y
EA_Model.Class_Model.atm.physical.NetworkToBank,2,4,4,0,0,0,0,1,1,1,4,Y
EA_Model.Class_Model.atm.physical.OperatorPanel,1,2,2,0,1,0,0,1,1,1,2,N
EA_Model.Class_Model.atm.physical.ReceiptPrinter,0,1,1,0,0,0,0,1,0,1,1,N
EA_Model.Class_Model.atm.transaction.Deposit,2,3,1,0,1,0,0,0,1,0,5,N
EA_Model.Class_Model.atm.transaction.Inquiry,1,3,1,0,1,0,0,0,0,0,5,N
EA_Model.Class_Model.atm.transaction.CardRetained,0,1,1,0,0,0,0,0,0,0,0,N
EA_Model.Class_Model.atm.transaction.Transaction,16,7,4,0,2,0,0,0,5,1,9,Y
EA_Model.Class_Model.atm.transaction.Transfer,3,3,1,0,1,0,0,0,1,0,5,N
EA_Model.Class_Model.atm.transaction.Withdrawal,2,3,1,0,1,0,0,0,1,0,5,N
EA_Model.Class_Model.banking.AccountInformation,2,0,0,0,0,0,0,0,0,0,0,N
EA_Model.Class_Model.banking.Balances,2,3,3,1,2,0,0,1,2,8,4,N
EA_Model.Class_Model.banking.Card,1,2,2,0,1,0,0,2,0,12,0,N
EA_Model.Class_Model.banking.Message,12,10,10,1,7,0,0,1,2,14,4,Y
EA_Model.Class_Model.banking.Money,1,7,7,0,0,0,0,11,0,16,0,Y
EA_Model.Class_Model.banking.Receipt,3,2,1,0,1,0,0,0,0,6,4,N
EA_Model.Class_Model.banking.Status,0,4,4,0,3,0,0,0,0,10,0,Y
EA_Model.Class_Model.simulation.ATMPanel,46,1,0,0,0,0,0,1,0,0,8,N
EA_Model.Class_Model.simulation.BillsPanel,1,2,0,0,0,0,0,1,0,0,0,N
EA_Model.Class_Model.simulation.CardPanel,1,2,0,0,0,0,0,1,0,0,0,N
EA_Model.Class_Model.simulation.GUI,5,6,3,0,1,0,0,1,4,3,9,Y
EA_Model.Class_Model.simulation.LogPanel,1,2,0,0,0,0,0,1,0,0,1,N
EA_Model.Class_Model.simulation.SimCardReader,1,4,0,0,0,0,0,1,0,2,1,N
EA_Model.Class_Model.simulation.SimCashDispenser,1,2,1,0,0,0,0,1,0,2,1,N
EA_Model.Class_Model.simulation.SimDisplay,2,5,1,1,1,0,0,2,0,3,0,N
EA_Model.Class_Model.simulation.SimEnvelopeAcceptor,2,3,2,0,0,0,0,2,0,3,0,N
EA_Model.Class_Model.simulation.SimKeyboard,10,7,0,1,0,0,0,1,2,2,2,N
EA_Model.Class_Model.simulation.SimOperatorPanel,0,1,0,0,0,0,0,1,0,2,1,N
EA_Model.Class_Model.simulation.SimReceiptPrinter,2,2,0,0,0,0,0,1,0,2,0,N
EA_Model.Class_Model.simulation.Success,0,3,3,0,3,0,0,0,0,0,0,N
EA_Model.Class_Model.simulation.Failure,1,4,4,0,3,0,0,0,0,0,0,Y
EA_Model.Class_Model.simulation.InvalidPIN,0,2,2,0,1,0,0,0,0,0,0,N
EA_Model.Class_Model.simulation.SimulatedBank,6,6,1,0,0,0,0,1,4,1,17,N
EA_Model.Class_Model.simulation.Simulation,14,18,16,0,4,0,0,0,10,2,9,Y
