NoKey,maxInDoc,totalInDoc,maxInAllClasses,maxInSpecClasses,totalInAllClasses,totalInSpecClasses,weightInAllClasses,weightInSpecClasses,NumAttr,NumOps,NumPubOps,Setters,Getters,Dep_Out,Dep_In,EC_Attr,IC_Attr,EC_Par,IC_Par,In_Design
3,5,8,143,0,151,0,50.33333333,0,0,0,0,0,0,0,0,0,0,0,0,N
2,2,4,7,4,9,5,4.5,2.5,0,1,1,0,0,0,0,0,0,0,0,N
2,7,9,21,4,28,5,14,2.5,0,1,1,0,0,0,0,0,0,0,0,N
1,2,2,7,4,7,4,7,4,18,18,16,0,11,0,0,5,8,11,8,Y
1,2,2,17,1,17,1,17,1,9,3,3,1,0,0,0,1,1,6,1,Y
2,3,6,32,5,43,7,21.5,3.5,1,4,4,0,0,0,0,1,1,1,2,Y
2,2,4,8,2,13,4,6.5,2,2,4,4,1,0,0,0,1,2,1,4,Y
1,3,3,6,1,6,1,6,1,0,1,1,0,0,0,0,0,0,0,0,N
2,3,6,73,1,80,2,40,1,0,4,4,0,0,0,0,1,0,1,1,Y
2,2,4,6,2,10,4,5,2,1,2,2,0,0,0,0,1,1,1,1,Y
1,4,4,30,2,30,2,30,2,0,4,4,0,0,0,0,4,0,4,3,Y
3,4,6,34,2,55,3,18.33333333,1,2,4,4,0,0,0,0,1,1,1,4,Y
2,9,15,205,6,271,8,135.5,4,1,2,2,0,1,0,0,1,1,1,2,Y
2,2,4,8,3,12,5,6,2.5,0,1,1,0,0,0,0,1,0,1,1,Y
1,2,2,5,1,5,1,5,1,2,3,1,0,1,0,0,0,1,0,5,N
1,2,2,3,1,3,1,3,1,1,3,1,0,1,0,0,0,0,0,5,N
2,3,4,32,5,33,6,16.5,3,0,1,1,0,0,0,0,0,0,0,0,N
1,2,2,15,1,15,1,15,1,16,7,4,0,2,0,0,0,5,1,9,Y
1,4,4,9,1,9,1,9,1,3,3,1,0,1,0,0,0,1,0,5,N
1,2,2,3,1,3,1,3,1,2,3,1,0,1,0,0,0,1,0,5,N
2,2,4,74,1,86,2,43,1,2,0,0,0,0,0,0,0,0,0,0,N
1,2,2,7,1,7,1,7,1,2,3,3,1,2,0,0,1,2,8,4,N
1,3,3,32,5,32,5,32,5,1,2,2,0,1,0,0,2,0,12,0,Y
1,4,4,54,1,54,1,54,1,12,10,10,1,7,0,0,1,2,14,4,N
1,2,2,5,1,5,1,5,1,1,7,7,0,0,0,0,11,0,16,0,N
1,2,2,4,3,4,3,4,3,3,2,1,0,1,0,0,0,0,6,4,N
1,3,3,15,1,15,1,15,1,0,4,4,0,3,0,0,0,0,10,0,N
2,9,11,205,6,212,10,106,5,46,1,0,0,0,0,0,1,0,0,8,N
2,9,11,205,6,207,7,103.5,3.5,1,2,0,0,0,0,0,1,0,0,0,N
2,9,12,205,6,237,11,118.5,5.5,1,2,0,0,0,0,0,1,0,0,0,N
1,3,3,22,1,22,1,22,1,5,6,3,0,1,0,0,1,4,3,9,N
2,9,13,205,6,235,8,117.5,4,1,2,0,0,0,0,0,1,0,0,1,N
3,3,8,32,7,52,14,17.33333333,4.666666667,1,4,0,0,0,0,0,1,0,2,1,N
3,2,6,9,7,22,11,7.333333333,3.666666667,1,2,1,0,0,0,0,1,0,2,1,N
2,4,6,34,7,43,8,21.5,4,2,5,1,1,1,0,0,2,0,3,0,N
3,2,6,9,7,19,11,6.333333333,3.666666667,2,3,2,0,0,0,0,2,0,3,0,N
2,2,4,9,7,16,8,8,4,10,7,0,1,0,0,0,1,2,2,2,N
3,9,17,205,7,280,15,93.33333333,5,0,1,0,0,0,0,0,1,0,2,1,N
3,2,6,9,7,21,12,7,4,2,2,0,0,0,0,0,1,0,2,0,N
1,1,1,1,1,1,1,1,1,0,3,3,0,3,0,0,0,0,0,0,N
1,1,1,1,1,1,1,1,1,1,4,4,0,3,0,0,0,0,0,0,N
2,5,7,10,1,12,2,6,1,0,2,2,0,1,0,0,0,0,0,0,N
2,4,6,21,2,42,4,21,2,6,6,1,0,0,0,0,1,4,1,17,N
1,4,4,21,2,21,2,21,2,14,18,16,0,4,0,0,0,10,2,9,N
