"className","NoKey","maxInDoc","totalInDoc","maxInAllClasses","maxInSpecClasses","totalInAllClasses","totalInSpecClasses","weightInAllClasses","weightInSpecClasses","NumAttr","NumOps","NumPubOps","Setters","Getters","Dep_Out","Dep_In","EC_Attr","IC_Attr","EC_Par","IC_Par","In_Design"
"EA_Model.EARootClass","3","4","6","40","2","44","2","14.666666666666666","0.6666666666666666","0","0","0","0","0","0","0","0","0","0","0","N"
"EA_Model.Class_Model.banking.AccountInformation","2","5","6","34","0","35","0","17.5","0.0","2","0","0","0","0","0","0","0","0","0","0","Y"
"EA_Model.Class_Model.banking.Balances","1","0","0","0","0","0","0","0.0","0.0","2","4","4","1","2","0","0","1","2","2","4","Y"
"EA_Model.Class_Model.banking.Card","1","1","1","1","0","1","0","1.0","0.0","1","2","2","0","1","0","0","2","0","10","0","Y"
"EA_Model.Class_Model.banking.Message","1","1","1","7","0","7","0","7.0","0.0","12","10","10","1","7","0","0","1","2","7","4","Y"
"EA_Model.Class_Model.banking.Money","1","0","0","0","0","0","0","0.0","0.0","1","7","7","0","0","0","0","7","0","12","0","Y"
"EA_Model.Class_Model.banking.Receipt","1","0","0","0","0","0","0","0.0","0.0","3","2","1","0","1","0","0","0","0","6","4","Y"
"EA_Model.Class_Model.banking.Status","1","1","1","2","0","2","0","2.0","0.0","0","4","4","0","3","0","0","0","0","3","0","Y"
"EA_Model.Class_Model.atm.ATM","1","0","0","0","0","0","0","0.0","0.0","17","18","16","0","11","0","0","4","8","10","8","N"
"EA_Model.Class_Model.atm.Session","1","0","0","0","0","0","0","0.0","0.0","9","3","3","1","0","0","0","1","1","6","1","N"
"EA_Model.Class_Model.atm.transaction.Deposit","1","1","1","1","0","1","0","1.0","0.0","2","3","1","0","1","0","0","0","1","0","5","N"
"EA_Model.Class_Model.atm.transaction.Inquiry","1","0","0","0","0","0","0","0.0","0.0","1","3","1","0","1","0","0","0","0","0","5","N"
"EA_Model.Class_Model.atm.transaction.CardRetained","2","1","1","1","0","1","0","0.5","0.0","0","1","1","0","0","0","0","0","0","0","0","N"
"EA_Model.Class_Model.atm.transaction.Transaction","1","1","1","8","0","8","0","8.0","0.0","16","7","4","0","2","0","0","0","5","1","9","N"
"EA_Model.Class_Model.atm.transaction.Transfer","1","2","2","3","0","3","0","3.0","0.0","3","3","1","0","1","0","0","0","1","0","5","N"
"EA_Model.Class_Model.atm.transaction.Withdrawal","1","1","1","1","0","1","0","1.0","0.0","2","3","1","0","1","0","0","0","1","0","5","N"
"EA_Model.Class_Model.atm.physical.CardReader","2","1","2","1","0","2","0","1.0","0.0","1","4","4","0","0","0","0","1","1","1","2","N"
"EA_Model.Class_Model.atm.physical.CashDispenser","2","0","0","0","0","0","0","0.0","0.0","2","4","4","1","0","0","0","1","2","1","4","N"
"EA_Model.Class_Model.atm.physical.Cancelled","1","0","0","0","0","0","0","0.0","0.0","0","1","1","0","0","0","0","0","0","0","0","N"
"EA_Model.Class_Model.atm.physical.CustomerConsole","2","1","1","5","0","5","0","2.5","0.0","0","5","5","0","0","0","0","1","0","1","1","N"
"EA_Model.Class_Model.atm.physical.EnvelopeAcceptor","2","1","2","4","0","5","0","2.5","0.0","1","2","2","0","0","0","0","1","1","1","1","N"
"EA_Model.Class_Model.atm.physical.Log","1","2","2","9","0","9","0","9.0","0.0","0","5","5","0","0","0","0","4","0","4","3","N"
"EA_Model.Class_Model.atm.physical.NetworkToBank","3","2","2","17","0","17","0","5.666666666666667","0.0","2","4","4","0","0","0","0","1","1","1","4","N"
"EA_Model.Class_Model.atm.physical.OperatorPanel","2","6","10","188","12","217","12","108.5","6.0","1","2","2","0","1","0","0","1","1","1","2","N"
"EA_Model.Class_Model.atm.physical.ReceiptPrinter","2","1","1","1","0","1","0","0.5","0.0","0","2","2","0","0","0","0","1","0","1","1","N"
